,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.28098068,-0.04961672,-0.0032152657,-0.48354557,-0.12365591,0.56429213,0.4329478,0.21506399,-0.1551133,-0.14098994,0.50303197,-0.08639769,-0.29134867,0.4296894,0.45688528,0.30991578,0.30692706,0.4840122,-0.35462618,-0.44329822,-0.5337535,0.03272603,0.43620095,-0.35754657,-0.015417723,-0.31973946,0.06801233,0.15837641,0.09116972,0.3764099,0.12794788,-0.1747663,-0.22274542,-0.10321567,-0.015834987,-0.20743442,-0.33599392,-0.20572068,0.1663347,-0.027663415
2,0.25949696,-0.124253124,0.5168821,-0.5079715,0.04987272,-0.42340854,0.30114436,0.04115496,-0.20470218,0.1483901,-0.4420877,0.025591413,-0.099303044,0.7193182,0.55533314,0.2649136,0.35999346,0.5608044,-0.12602659,-0.3761462,-0.45010015,-0.13698527,0.2975782,-0.3420332,-0.06916263,0.0046508173,0.26553637,0.1831822,0.040847026,0.177482,-0.20321806,0.16312383,-0.26743484,-0.21482404,0.09124916,-0.20881945,-0.3765325,-0.1855561,0.006605589,0.09527901
22-rdf-syntax-ns#nil,0.030400813,-0.38086957,0.3876505,-0.021696141,0.41761467,0.2543702,0.21437413,0.19918935,-0.32804844,-0.06736559,-0.23727027,0.13493887,-0.5308347,0.040343005,0.36204767,0.22957362,0.5757656,0.52103233,-0.42004532,-0.18162009,-0.09139511,0.38059857,0.32104063,-0.54060763,-0.22656754,0.084299184,0.1406938,0.24535063,0.087373614,0.34059316,-0.338145,-0.27505907,0.54720926,-0.196628,-0.119073026,-0.1891949,-0.1542245,-0.3477351,-0.3464626,-0.07246526
4,0.16283938,0.023306737,-0.0042722677,0.25861606,0.18264045,0.29611814,0.34231982,0.23149881,-0.15210897,0.10681826,-0.43667164,-0.017646352,-0.10017712,0.49778742,0.404119,0.19424461,0.28017154,0.32131428,-0.19024651,-0.4289316,-0.46097273,-0.17219222,0.4102554,1.1202372,-0.21051276,0.12659453,-0.4294536,0.14316955,-0.12037787,0.4343592,-0.24984181,0.07703096,-0.24154791,-0.19553797,-0.17021747,-0.17252538,-0.3682951,-0.32611635,-0.1987462,0.0950871
Air,0.280026,0.32911092,0.3513905,-0.20611353,0.15132771,0.3183635,0.21782057,-0.11013488,0.0148671465,0.06339842,-0.35077736,-0.23798181,0.21689422,0.4824175,0.4517173,-0.01879444,0.257983,0.13116589,-0.23374158,-0.08600151,-0.25562248,0.28130123,0.0128462445,0.49374464,-0.27224115,-0.058487978,-0.17455393,-0.3267697,0.5375308,0.60870963,-0.103857644,-0.23707119,-0.17828427,-0.06746575,-0.20351484,-0.17959653,-0.097360015,-0.35815635,0.012782575,0.2633678
Animal,0.4917601,-0.2474639,-0.15741159,-0.080127716,-0.2900325,-0.08527395,0.017880632,0.32710525,-0.6560483,0.073788084,-0.2623978,-0.31937835,-0.3387835,-0.16387649,0.58183706,0.3446802,-0.012075031,-0.077019624,-0.027923495,0.086975195,-0.48338568,-0.4782715,-0.34663326,0.078468345,-0.24292548,0.34207493,-0.13577542,-0.11277233,-0.18902744,0.61682564,-0.24052086,-0.6095581,-0.14210846,-0.065550864,-0.21602872,-0.054948483,0.1726597,-0.19625035,-0.17210439,0.4268571
Bat,0.21620344,-0.03482351,0.24161103,-0.2845073,0.44445798,0.09963781,0.22248723,0.03760178,-0.15813601,-0.14485586,-0.4533796,-0.22258736,-0.056189813,0.20281866,0.42797786,0.2934788,0.25956655,-0.046822265,-0.1315221,-0.039934758,-0.25330448,-0.43870372,0.16212608,0.4244757,-0.22224754,-0.19644102,-0.082314536,0.07367518,0.19234963,0.013154509,-0.09501122,-0.28959692,0.29787582,-0.289768,-0.09540522,-0.025351904,-0.23702784,-0.39637443,-0.11137999,0.3735225
Bird,0.24437426,-0.06688047,0.18138312,-0.20196816,0.19234115,0.12531167,0.028641026,0.25493437,0.03616514,0.048874207,-0.21022284,-0.3812637,-0.8054928,0.39786467,0.46097738,-0.033608355,0.28360036,0.05312357,-0.283599,-0.09677417,-0.15842915,-0.16500287,0.22734956,0.10664346,-0.13042523,-0.068966046,0.033354327,0.06625408,0.3047336,0.3054327,-0.17534208,-0.22536792,-0.05747028,-0.15485933,-0.1030271,-0.100683935,-0.17028287,-0.33368224,-0.17290089,0.32329383
Boy,0.07973537,-0.015447683,0.22945742,-0.21095927,0.20716625,0.15194342,0.26755702,0.36640725,-0.12970644,-0.07646277,0.13527066,-0.18592015,-0.12142906,0.39829192,0.45931104,0.3233074,0.28501302,-0.2019576,-0.26777795,-0.0462632,-0.21853317,-0.05991964,0.14017606,0.051629912,-0.30733508,-0.004771073,-0.13037401,0.068383545,0.13983765,0.023103464,-0.29155824,-0.15070704,-0.23196535,-0.21960671,-0.09394182,-0.057345033,-0.21392512,-0.48310977,-0.065032154,0.32251897
Cat,0.034425095,-0.13649562,0.012456488,-0.26622277,0.26522994,0.061209712,0.21769331,0.27633023,-0.120212436,0.34186944,-0.26891166,-0.03806412,-0.26271212,0.2436328,0.4509514,0.31674528,0.25271863,-0.048469167,-0.30129412,-0.12598918,-0.47747666,-0.031540345,0.28964671,0.24240114,-0.2832851,-0.23809963,-0.10172316,0.038230546,0.20079462,0.09288235,0.1906519,-0.31778803,-0.006029411,-0.28517556,0.17612018,-0.07016933,-0.26909003,-0.44558528,-0.012555733,0.33232877
Caves,0.25406292,-0.1680743,0.40926266,-0.25433725,0.2923614,0.26252505,0.22823784,0.25779647,0.031645767,0.059693523,-0.28298694,-0.31772593,0.41472232,0.37225515,0.43246168,-0.031611282,0.33072296,0.13403618,-0.3020514,0.048331514,-0.3273808,-0.19097139,-0.037027314,0.058549456,-0.28903902,-0.06905425,-0.19648963,0.020729862,0.31620142,0.3339884,-0.12042958,0.24929014,0.0051762643,-0.19963634,0.0009425009,-0.07492063,-0.23424643,-0.26195017,-0.016839309,0.27005
Covering,0.39223495,0.41280875,0.47183877,-0.23982564,0.17255017,0.27105427,0.22261956,0.30154973,-0.16717595,0.09890702,-0.42204276,-0.20877843,-0.16173898,0.14359091,0.57527083,0.30748346,0.13437049,0.02620332,-0.22365338,-0.109413706,-0.26026458,0.20559832,0.36542976,0.015761172,0.28847003,-0.5899299,-0.05674282,0.15287422,0.25828707,0.4313578,-0.37889484,0.09376957,0.0053399815,-0.12677129,-0.09288025,-0.14621797,0.1887894,-0.2567492,-0.17023191,0.37413543
Crocodile,0.2505567,-0.026980342,0.44197485,-0.31262,0.38391528,0.16280414,0.17435445,0.19108513,-0.15088625,0.12259233,-0.25616807,-0.23559101,-0.114448756,0.47062257,0.41844353,-0.047996208,0.23988132,-0.007617857,-0.22859144,0.01657667,-0.31727794,0.22401011,0.2196676,-0.17970148,-0.089080416,-0.17798969,-0.09803625,0.11420217,0.22329263,0.26814258,0.42190766,-0.28185904,0.11166708,-0.2506019,-0.090377636,-0.25202206,-0.11342153,-0.32608062,-0.1934244,0.32789615
Dog,0.20305124,-0.1548432,0.1892207,-0.2076155,0.15561792,0.3017307,0.34476632,0.13159943,-0.20245992,0.08912897,-0.043973178,-0.44928592,-0.31171152,0.2402506,0.325767,0.2724092,0.32024693,-0.06957267,-0.34349275,0.0032947082,-0.13535124,-0.2797766,0.33009204,0.36286736,-0.20122206,-0.19198203,-0.18714984,0.1478593,0.14212863,0.23643017,-0.29743037,0.16987951,0.20647837,-0.28522527,-0.19641091,-0.13678944,-0.24880822,-0.36083704,-0.11158461,0.3504784
Dolphin,0.26521948,0.080576,0.030144257,-0.3454365,0.25409856,0.093770675,0.25058666,0.33972055,-0.046556823,0.22729675,-0.6156622,-0.19636975,-0.21385264,0.40991673,0.49582657,0.30828667,0.25561163,0.23713553,-0.22905983,-0.072093636,-0.31388435,-0.32838884,0.33004344,-0.40579346,-0.1868749,-0.31478786,-0.28164658,0.052449174,0.22835852,0.00039489273,0.2890922,0.07526435,-0.26472554,-0.29581714,0.07330557,-0.07965876,-0.057449207,-0.040538676,-0.14868924,0.39589748
Dragon,0.19900122,0.023561873,0.50040245,-0.21680625,0.2427399,0.09913812,0.30215958,0.2732266,-0.16654406,0.2216448,-0.30009976,-0.16349356,0.16427307,0.44777775,0.3459525,0.16033417,0.33235002,-0.11986655,-0.33451062,0.036252312,-0.5616778,-0.29825032,0.19881931,0.018247668,-0.28588927,-0.035691287,-0.15143164,0.0826234,0.367814,-0.036385775,-0.22101636,-0.31838322,0.23346327,-0.1372009,-0.06978636,-0.08502381,-0.05819787,-0.3655568,-0.060203854,-0.0018821626
Eagle,0.19807993,0.02722512,0.07918221,-0.119469896,0.095489174,0.19251856,0.31363285,0.16647239,-0.15185694,0.3608175,-0.3513178,-0.21902001,0.14817853,0.33383355,0.53926337,0.21852483,0.11600519,-0.044081364,-0.29150447,0.07468776,-0.12773009,0.2249437,0.45731533,0.07348305,-0.06854396,-0.10738536,-0.3359051,0.06523477,0.16325106,0.1460601,0.018137418,-0.26072738,-0.60312647,-0.22968547,0.00597246,-0.2150703,-0.2951644,-0.36831582,-0.14125977,0.32482192
Eel,0.122514874,-0.09237101,0.1749248,-0.1710715,0.33509684,0.20164451,0.35660022,0.29488495,-0.17235255,0.21384183,-0.40644854,-0.15861136,0.4276925,0.34918994,0.3572393,-0.008905168,0.31391707,0.07281104,-0.24493462,-0.014444539,-0.3416347,-0.6094393,0.26192868,0.1647754,-0.14447235,0.33488733,-0.11384983,0.08798358,0.22037809,-0.03008339,-0.14037178,-0.25336456,-0.11590616,-0.32599327,-0.029893344,-0.16384795,-0.1972035,-0.24743402,-0.13171849,0.3325455
Feathers,-0.019132933,-0.36465448,0.42037228,-0.24786577,-0.2411306,0.34480056,0.202701,0.5185762,-0.08700522,0.11637928,-0.07920987,-0.24459627,-0.08930171,0.35333452,0.31692043,0.46201894,0.2226508,0.13263693,-0.25970638,-0.028407184,-0.1085977,-0.35553527,0.13102412,0.24449831,-0.40872115,-0.180776,-0.052003074,0.1676825,0.3500766,-0.12606178,-0.22186096,-0.48250118,-0.23606858,-0.26978415,-0.22732511,-0.13945039,0.15631492,-0.411607,-1.4119486e-05,0.38603842
Fish,0.3025901,0.25683162,0.25786087,-0.18586528,0.19968542,0.2011081,0.07560561,0.16085765,0.042135514,0.08956259,-0.22739533,-0.33003542,-0.089106135,0.2878122,0.4298241,0.3406974,0.328318,0.115826175,-0.21302328,-0.0831222,-0.23728281,0.14841935,0.17894252,0.006582846,-0.19931105,0.022684645,-0.17333995,-0.047304388,0.50039095,0.22925855,-0.20501931,0.048072502,0.008517732,0.13540989,-0.10546577,-0.30996618,-0.3139886,-0.3598017,-0.069428824,0.30894706
Girl,0.32594883,0.062693395,0.038045194,-0.20988545,0.24270955,0.08712878,0.17878939,0.2982887,-0.0122409575,0.16964027,0.078648366,-0.288638,0.23099086,0.41047356,0.42374837,0.16063008,0.3176476,0.13504502,-0.3153117,0.12398505,-0.24660258,-0.19340095,0.2180308,0.077217996,-0.28079176,-0.018002523,-0.23045474,0.10316519,0.347363,0.27173328,0.23167202,-0.32446906,-0.15187639,-0.18293676,-0.107270464,-0.03794421,-0.09024531,-0.2526088,0.010761975,0.35773033
Habitat,0.3918363,0.4573794,0.7497355,-0.07882317,0.33001995,0.2927205,0.07168975,0.20439966,-0.03205982,-0.01580619,-0.059978027,-0.21984579,0.38648218,0.15046369,0.4576973,-0.00047923316,0.19243132,0.0639522,-0.047626562,-0.03493096,-0.6412615,-0.29833558,0.33995777,-0.8634635,-0.1263762,-0.03572286,-0.09575109,0.033687335,0.28202572,0.67450225,-0.22725211,-0.18046308,0.32552007,-0.037376348,-0.07180482,0.3254598,-0.11842204,-0.30899513,0.04039634,0.4218842
Hair,0.077168986,0.5202089,0.39313346,-0.20196588,0.21396582,0.26777175,0.319247,-0.32785785,0.13797049,0.24827652,-0.17147987,-0.2664001,-0.31390077,0.38274103,0.3699937,0.2521885,0.30017063,0.11988092,-0.3616973,-0.087232366,-0.22002813,0.06342411,0.0061912597,0.18856241,-0.41408458,-0.21026848,-0.019748865,0.43412125,0.07220063,-0.007939653,-0.21161532,-0.45330152,-0.09211506,-0.24204485,-0.40098256,-0.28347445,-0.079248674,-0.35697535,-0.10189366,0.3855696
HasEggs,0.19719717,0.08520181,-0.2556343,-0.16274689,-0.002223185,-0.012186025,0.282778,0.20941117,-0.14080144,0.14438199,-0.35825658,-0.31911483,0.10379188,0.08414348,0.5404461,0.025214376,0.11840694,-0.13453335,-0.13673678,0.053930808,-0.48586366,-0.18709446,-0.26447773,0.053450182,-0.66418856,0.24886732,-0.19595478,0.5123843,0.044909474,0.5577973,-0.31071067,-0.32246757,-0.19706257,0.012350261,-0.083661936,0.07096658,0.03065156,-0.2910094,-0.040819515,0.3300587
