,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
22-rdf-syntax-ns#first,0.24938817,-0.042922277,-0.122261286,-0.8470493,0.2655208,-0.27442876,0.19955729,0.32064953,-0.4619758,-0.031371105,0.6789842,0.23376018,-0.35687965,0.025137998,-0.13688725,0.067684785,-0.08188874,0.06613648,0.13210101,-0.110812485,-0.5569011,-0.1691609,-0.04539314,-0.16918592,0.32904136,0.14824505,0.21667321,0.036459513,-0.17040774,0.08903665,-0.174452,-0.25095895,0.013101821,-0.7202805,-0.83938366,0.42878893,-0.575384,0.27193114,0.039656818,0.68987864
22-rdf-syntax-ns#rest,0.99615043,-0.035180125,0.14826994,0.1098398,0.3198879,-0.13507916,0.5727108,-0.0075152535,-0.16938728,-0.06557826,0.39825156,0.00032016184,0.07454845,0.306079,-0.26810247,-0.015522726,-0.10129224,0.55465823,0.005836539,0.3364694,-0.5207501,0.40186676,-0.07656586,0.39186808,0.15680443,-0.5148265,0.0545533,-0.03698562,0.23047787,0.07511182,-0.34214547,-0.17574786,-0.32916898,-0.38016987,-0.27561265,-0.29308218,-0.7035664,0.4273638,-0.37746632,0.9989809
22-rdf-syntax-ns#type,-0.0466962,-0.15688449,0.1455663,0.24059248,0.047457013,0.111322865,-0.67576194,-0.2198749,0.2635819,-0.32475308,-0.046305686,-0.23533131,-0.40500602,-0.14682488,0.27671173,0.17247733,-0.26508328,-0.5978266,0.23687488,-0.24925487,0.30323592,0.12257233,0.18898696,-0.08405129,0.34337378,0.16219749,-0.2649834,-0.100717984,-0.4998186,-0.0699175,0.62679857,-0.09054623,0.24102668,0.07470147,0.17456801,0.020676367,0.3370711,-0.14003336,-0.09633437,-0.118991636
owl#hasValue,-0.2902701,-0.36770403,-0.09832201,-0.26066497,-0.2191065,0.58096087,0.34490103,-0.43757585,0.5366634,0.26892668,-0.15882136,-0.10862032,-0.16886237,-0.32905772,0.5005981,-0.27802143,-0.33211625,-0.30111387,-0.023902822,-0.25404197,-0.053929638,0.3602731,-0.6592856,0.37117276,-0.25508997,0.0009944112,-0.21688351,0.18587147,-0.19670907,-0.20207804,-0.09516328,-0.4101388,0.019401874,-0.42745954,-0.24465066,-0.108574405,-0.18484125,0.21532823,0.5092719,-0.23395465
owl#members,-0.9748116,-0.19485487,-0.28223613,-0.1301104,-0.26263773,0.0860124,0.49347863,0.02357089,0.2985993,-0.55350167,-0.08688869,0.53589207,-0.06442096,-0.23950526,-0.22629422,0.16180614,-0.6536234,0.364996,-0.05950376,0.5422036,0.03939278,0.15519579,0.2441696,-0.06993359,-0.36561212,-0.28966823,0.27808878,-0.007430627,0.4529398,0.07756265,-0.117911644,0.39780608,-0.20699996,0.21421449,0.22663714,0.07203585,-0.015146995,-0.1747356,-0.4342784,-0.35990977
owl#onProperty,0.11323739,0.55573004,0.5485889,0.17454498,-0.26027372,0.22463247,0.14113483,-0.08921135,0.19357045,0.36706555,0.48297426,0.90263623,0.009097649,0.09580109,0.6642352,-1.0492529,-0.07846854,-0.3374924,-0.3201775,0.31678557,0.2935544,-0.506789,-0.3059037,0.0647981,-0.13914753,0.13522218,-0.4282501,0.63577706,0.2450676,0.24838294,0.08942874,0.4412716,-0.011515957,0.06804548,0.24951231,-0.11685242,-0.19441928,-0.100980744,0.22063364,-0.28655672
owl#someValuesFrom,-0.5945783,-0.18382072,-0.21516652,-0.020311667,-0.002152174,-0.43794766,-0.35448718,-0.6701621,-0.18672207,-0.5157112,0.08789933,-0.41246787,0.7191494,0.16311823,-0.25937656,-0.24543902,0.49486554,-0.06493176,-0.47405607,0.08819697,0.17542298,-0.088095896,-0.44117764,-0.04960475,-0.42515165,0.6307944,-0.50968796,0.31051624,0.22128004,-0.028580986,0.3681607,0.06245504,0.62969726,0.03512414,0.31505564,0.4117338,0.22516371,-0.2251023,-0.2695118,0.09128716
owl#unionOf,-0.3377229,0.1647408,0.5583288,-0.39552495,-0.11571068,-0.6003059,0.5333034,0.61698955,0.23953177,0.080526985,0.28457966,0.05757513,-0.30173331,0.11961515,-0.07287416,-0.52128386,-0.61107385,-0.6267028,-0.065875195,-0.1506874,-0.5106567,0.30956766,0.33585778,-0.16298796,-0.07318715,0.09950718,0.26243976,-0.016202882,0.09000599,-0.6283526,-0.027792826,0.45674872,-0.53478444,-0.2701038,-0.72630596,-0.28194773,-0.16294871,-0.37813464,-0.5455898,0.1641804
rdf-schema#domain,0.018776959,0.2970373,-0.2570763,-0.10375453,0.11305706,-0.8326844,0.21141313,0.3005172,-0.28711286,-0.02729353,0.14003353,0.20721054,0.07992472,0.3238835,0.004575198,0.2590072,-0.35852697,-0.14972351,0.22972359,0.26148495,-0.015901377,0.270772,-0.31675544,0.022452325,0.16687988,-0.07060619,0.3354731,0.04627164,-1.3354815,-0.23997413,0.044454195,0.019712916,0.008614453,-0.48532173,-0.23612316,-0.27302673,0.3196274,0.505591,-0.34410033,0.02436028
rdf-schema#range,-0.41723976,-0.38240337,0.037170336,-0.24603865,0.20508726,-0.40507513,0.33461213,0.040824097,-0.012169502,-0.08003388,-0.11276451,0.06664409,-0.16414987,0.46139875,0.011125502,0.23873618,-0.09912777,0.28702435,0.0745453,-0.023257442,-0.36354285,-0.0644644,-0.3381536,0.00019399627,0.08755238,0.06540844,0.27324468,0.02406854,-0.77809316,-0.3711013,0.03754677,-0.28479132,-0.36541128,-0.2687335,0.32153824,0.26745126,0.43846515,-0.05647292,-0.13908453,0.12431829
rdf-schema#subClassOf,0.09987199,0.045893736,-0.274411,-0.11187499,-0.31169844,0.23784834,0.08202604,0.0033927546,0.51533943,0.35580564,0.3272067,0.3821445,0.36444628,-0.72403514,-0.24425545,0.05532114,0.23291793,-0.049822576,0.2166145,0.64419985,-0.081231564,0.44889006,0.35940018,-0.6955352,-0.060791753,-0.09966039,-0.3504517,0.3990366,-0.5650618,0.43908095,-0.018032324,0.050128456,0.16579057,0.16207658,-0.15650341,-0.44124776,0.47479376,-0.35752147,-0.9205799,0.0035328171
