,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
lymphography,0.1536182,-0.2638794,-0.16432635,-0.20501778,-0.2643695,-0.22705135,-0.55324996,0.1823332,0.37220573,0.18608725,0.334486,-0.009955766,-0.469659,0.03526543,0.47571015,0.56112945,0.2995328,0.105496354,-0.22394888,-0.37726936,-0.33796844,-0.16180433,-0.2815908,-0.3427166,0.29410228,0.10868347,-0.08586614,-0.24633458,0.070334524,-0.6083056,-0.20692953,-0.33506092,-0.17876597,0.32773608,0.12684393,-0.22541146,0.21218632,0.37489825,0.17549965,-0.1454482
lymphography#1,0.07973043,-0.32731766,-0.19987307,0.0033046214,-0.5363726,-0.2936375,-0.20577767,0.12583771,0.46408635,-0.13494694,0.14020324,0.32266927,-0.5082489,0.33116347,0.22450647,0.50340676,-0.086986996,0.5330696,-0.4094959,-0.19141969,-0.17115611,-0.057513304,-0.25461438,-0.16496718,0.26766226,0.08249458,-0.03991953,-0.37629858,-0.057441458,-0.5443846,-0.19214278,-0.10943504,-0.24585149,0.3520569,0.093237944,-0.16472141,0.171841,0.37647328,-0.098043345,-0.28595224
lymphography#10,-0.042740136,-0.601178,0.033942416,0.3647524,-0.3458906,-0.27534625,-0.41954324,0.064605854,0.35503832,-0.24691927,0.062508605,0.14197329,-0.12492389,0.34830678,0.38041273,0.5497133,0.009096232,0.36383307,-0.14605491,-0.38103458,-0.15550025,-0.07746603,-0.4177351,-0.21066561,0.45012116,0.25655523,-0.009076506,-0.45408037,-0.058835484,-0.48683032,-0.3018759,-0.32294932,-0.20057648,0.35844925,-0.25492063,-0.1241977,0.150588,0.47084984,0.45239562,0.24589844
lymphography#100,-0.12019705,-0.3846569,-0.2844232,0.07496295,-0.34822822,-0.3072125,-0.31553578,-0.16089654,0.44947118,-0.06309761,0.60931766,0.12785044,-0.480554,0.15372397,0.070307255,0.67529035,0.17356215,0.16390823,-0.2574789,-0.23135526,-0.3053026,0.12474627,-0.4699248,-0.11242315,0.5097149,0.18872923,0.21576542,-0.42628092,-0.044938806,-0.4856414,-0.13368896,-0.024511045,-0.21931733,0.042375933,0.107926816,-0.2894827,0.2383126,0.57191133,0.03558841,-0.19552688
lymphography#101,0.01353049,-0.30424818,0.035098102,0.13823207,-0.16995744,-0.44694605,-0.64390576,-0.07686747,0.5557505,-0.14584416,0.118596435,0.23963372,-0.5091344,0.24535443,0.21475029,0.3873746,0.360902,0.305456,-0.2373315,-0.17028758,-0.22652492,0.0021431127,-0.44867924,-0.28089654,0.38517234,0.28665435,-0.30415738,-0.3023581,-0.1805232,-0.09134099,-0.031304967,0.005476718,0.017320037,0.19809619,0.2788213,-0.24707526,0.46877652,0.50681627,0.15899672,-0.08999221
lymphography#102,-0.042585064,-0.56977516,-0.17455272,0.21586552,-0.49631235,-0.4671467,-0.4029875,0.040512417,0.30160338,-0.06996335,0.051248837,0.1934586,-0.27112037,0.41000608,0.2993438,0.5475986,0.025448455,0.39100733,-0.3078067,-0.21580449,-0.18806215,0.08088224,-0.46579212,-0.19140732,0.5719536,0.12616512,-0.054242954,-0.23276919,-0.23894778,-0.41367242,-0.54929197,-0.26924473,0.01153537,0.022901006,-0.26430094,-0.20246749,0.103138864,0.26422828,0.118952505,-0.005536625
lymphography#103,-0.11370962,-0.47186884,-0.10642648,0.28255793,-0.49126974,-0.37253264,-0.3795257,0.09967285,0.55235237,0.060476903,0.038929597,0.08294612,-0.22215882,0.29870513,0.2363915,0.71693236,0.0828688,0.06821616,-0.20556074,-0.30444074,-0.111361705,0.06006294,-0.27701795,-0.22007972,0.47640783,0.3767948,-0.072696656,-0.28619564,-0.055186857,-0.5655051,-0.36512825,-0.25087515,-0.1732228,0.21423502,0.24501981,-0.07198731,0.5034056,0.4056055,0.16970521,-0.18278797
lymphography#104,-0.28554666,-0.2130772,0.022057734,0.15412515,-0.33910754,-0.5427671,-0.4265486,-0.23871148,0.405101,-0.1807483,-0.017202217,0.31837836,-0.47887015,0.4523742,-0.019304024,0.4660016,0.23141967,0.21913734,-0.40205368,-0.19620007,-0.39158407,0.11595991,-0.4085523,-0.16978973,0.45421726,0.083354875,0.2629398,-0.28590953,-0.08365248,-0.25397414,-0.3490744,0.17959084,-0.18278329,-0.08859796,-0.0014784228,-0.39261052,0.16088098,0.39134628,0.24988776,-0.17652254
lymphography#105,-0.002485661,-0.4731588,-0.15661256,0.34520653,-0.67456037,-0.11112153,-0.40521643,0.107706204,0.42068318,-0.42806217,0.13687034,0.43037662,-0.3380984,0.27086863,0.21886851,0.6387859,0.019711154,0.32832134,-0.2341964,-0.15548137,-0.2718061,0.1296944,-0.3649047,-0.536031,0.23570068,0.106902786,-0.16331226,-0.19092728,-0.24869151,-0.4153982,-0.32105175,0.15968055,-0.18702573,0.2622184,0.051369593,-0.09915435,0.52533937,-0.11939491,0.3935472,-0.36978665
lymphography#106,-0.40022135,-0.46071434,0.099799655,0.24064687,-0.5877064,-0.5173148,-0.34368652,0.025358647,0.56418586,-0.0698882,-0.028816817,0.22680946,-0.33916017,0.31941962,0.36988202,0.24422209,0.095909484,0.20406133,-0.26546967,-0.2061779,-0.52896297,0.017937008,-0.36352086,-0.20563056,0.3327795,-0.07952315,-0.027255783,-0.11687543,-0.25939873,-0.46836522,-0.4489415,-0.029746171,0.02801354,0.12403,0.59840894,-0.24474834,0.5811616,0.20534271,0.061094627,-0.073254414
lymphography#107,-0.07752118,-0.39544278,-0.29737365,0.10411797,-0.3524713,-0.41821635,-0.3786865,-0.16277856,0.63338864,-0.19876663,0.19336556,0.053433273,-0.34950483,0.437136,0.35045066,0.5559473,-0.003618202,0.30239695,-0.32248113,-0.08119585,-0.402323,-0.27646333,-0.5008644,-0.33671063,0.27391922,0.052105382,0.1726551,-0.3157993,-0.3795595,-0.3999303,-0.20121747,0.15572079,-0.23129116,0.123850085,-0.2117875,-0.15791304,0.05197048,0.22554363,0.048485328,-0.14810921
