,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-0.008,-0.06575868,0.14820226,-0.63839,-0.14736275,0.62860143,-1.2276961,-0.73622376,0.26245856,2.0159135,0.6179136,-0.24505188,-0.25927037,-0.21248361,0.10374323,-0.40812898,-1.8961401,0.23403542,0.97802204,-0.5175913,0.057136856,0.24643281,-0.5709074,-0.38274184,-0.29290476,-0.4703353,0.011390258,0.85340655,-0.519415,-2.399834,0.5116476,0.46919444,0.13019574,-0.031863704,0.06969967,1.2229607,-0.042245183,0.89569384,1.7212172,0.058216367,0.3289246
-0.009,-0.0947324,0.10737074,-0.45980927,0.05579804,-0.50225794,-0.7847766,0.17015523,0.08848066,0.2392742,0.49990702,-0.3988233,-0.26299173,0.08144369,-0.6006608,-0.9667393,-0.4469567,0.37040925,0.41039786,-0.6631387,-0.14396507,0.4211253,-0.35670254,-0.5701654,-0.615227,-0.10643686,0.20818296,1.044072,-0.5950918,-0.58817863,0.53226197,0.4284915,0.18508874,1.4969778,0.33021566,-0.16121389,-0.65657973,1.7129546,0.93646264,-0.04569912,0.22863121
-0.014,-0.016870433,-0.9908384,-1.2683939,0.17139748,-0.038193047,-0.9381943,-0.000982619,-0.050285786,0.85721135,0.1613723,-0.43564305,-0.2830057,0.2023381,0.4209549,0.10065045,0.07577713,0.7944588,0.7125832,-0.35511184,-0.6071589,0.30615214,-0.85266423,-0.2056793,-0.42051542,-0.27343348,0.00424159,1.2004787,-0.47564492,-1.9588406,0.68455476,0.7473705,0.08783171,0.42735946,-0.3840307,0.435486,-0.94172513,1.9909446,1.2364467,0.7000307,-0.1309126
-0.015,-0.09206772,-2.494278,-0.9620112,0.11836378,0.5858519,-0.92448294,-0.7423024,0.2925217,0.31613678,0.617684,-0.21025515,-0.35931718,-0.18381801,-0.24411911,-0.034807686,-1.0266013,-0.72009164,0.10522253,-0.12107114,0.11386296,0.52028924,-0.71108127,-0.36892882,-0.7251898,-0.6468392,0.0222607,0.5231273,0.07392304,-0.74564946,0.44352144,0.36421603,0.22139491,0.5923048,0.27842984,1.5192028,-0.015170978,-1.109126,0.08755293,1.0108774,0.5817259
-0.022,-0.09287086,-1.1996424,-0.78542864,0.18953176,-0.3258442,-0.8422538,0.57111794,0.13043639,-0.83920366,0.31478754,-0.34063286,-0.32515255,0.47953793,-0.45581803,-0.23567052,-0.20667353,0.14079244,1.2009954,-0.58300847,0.03144174,0.43535933,-1.2674527,-0.45694247,-0.6759136,-0.33877864,0.080690056,2.1979427,-0.2191111,0.14194264,0.6177836,0.49979484,0.18316151,0.70814115,-0.17311756,1.1602366,-0.5157897,1.0241607,1.9850109,-0.009134952,0.315341
-0.023,-0.15834443,0.26631942,-0.90412563,-0.25158897,0.37970567,-0.9730914,-0.4691964,0.0009293758,1.0756091,0.6761294,-0.22720748,-0.31647825,0.32334614,-0.12542553,-1.3120012,0.30077785,0.21630688,0.48297977,-0.07693788,-0.10562916,0.46575537,-0.25477505,-0.32053652,-0.2849879,-0.36314484,0.023073368,0.83985645,-0.92506754,-1.953973,0.570855,0.3978551,0.2714709,0.5760033,-0.08368923,0.13759936,-1.0462006,1.1608893,0.80504876,1.2245079,0.25955003
-0.024,0.0041332403,-1.1399044,-0.9389331,-0.056897562,-0.049473822,-0.91834116,-0.7404308,0.04910424,0.54325145,0.31948274,-0.334312,-0.3122798,-0.055242326,0.13981414,-0.8316422,-0.5284826,-0.71838814,0.10368508,-0.85454416,-0.011735389,0.4699415,0.17324233,-0.28434464,-0.6988457,-0.10859762,0.103848554,0.84446824,-0.16999252,-0.66517967,0.63670164,0.3718431,0.040653598,1.0079004,2.0494754,0.947612,-0.38167253,-1.729659,0.1768373,-0.16675404,0.23880467
-0.029,-0.032431923,-0.616491,-0.69187444,0.2724468,0.71246,-1.454204,-0.6266433,0.012695173,0.68316954,0.5125644,-0.08707754,-0.28667945,0.52643335,-0.37798953,-1.0384574,-2.0675294,0.37607843,-0.17331922,-0.68841475,-0.43512508,0.32341388,0.48292598,-0.4691536,-1.0485166,-0.59806776,0.080957085,0.12058348,-0.44454867,-1.2988609,0.6546548,0.3326113,0.081932,1.132587,-0.008009417,0.16601728,-0.150555,1.7354504,-0.07042783,0.5998867,0.14519605
-0.063,-0.0071401955,-1.4706441,-1.1820921,0.44851828,0.7396886,-1.4665009,0.29872128,-0.119794495,1.3078525,0.5034239,-0.3654413,-0.3899853,-0.288197,0.26196975,0.021160247,0.018117782,0.5459396,0.3466661,-0.5254894,-0.042890448,0.35202426,0.31513155,-0.20431511,-1.112336,-0.54372174,-0.0059453845,0.26841223,-0.1456089,-2.1387165,0.7230798,0.68359995,-0.0060128877,0.17635626,2.5090246,0.651051,-0.959876,2.0442395,0.17350222,0.31392053,0.17625985
-0.074,-0.029525196,0.011969208,-1.4339552,0.04094107,1.337598,-0.8971311,-0.742365,-0.1987812,0.78249484,0.45532444,-0.2826564,-0.31253648,-0.45531818,-0.3832888,-0.4344286,0.14302874,0.06835124,0.21424638,-0.6157153,-1.0251101,0.32084894,-0.24328065,-0.050976735,-0.5676166,-0.76965094,0.09188722,0.49907175,-1.0151628,-1.3241031,0.4573092,0.66498315,0.07216716,0.093780294,0.5420493,0.62360907,-1.0615485,0.7695362,0.22704487,-0.037044756,-0.28190145
-0.076,-0.12504685,-0.44396532,-1.5726382,0.5412797,-0.63699734,-1.4191992,-0.3854185,-0.259492,-0.76829094,0.51189166,-0.3007504,-0.32371533,-0.6352826,-0.4142239,-2.0763543,-0.3264587,0.1382602,0.17600244,-0.055553257,0.014171289,0.35743743,0.34233484,-0.12648481,-1.2142513,0.13647589,-0.024663946,1.4003316,-0.9207555,-0.06798609,0.4024656,0.25038892,0.17650418,0.4790779,0.9249673,0.15004827,-0.6181136,1.0469458,0.23058492,2.4011278,0.23170902
-0.088,-0.04234724,0.12658769,-1.1100472,-0.19106232,0.30214372,-1.4265511,0.64691174,0.10229115,-0.5608279,0.55133766,0.035694882,-0.28367195,-0.5727881,-0.14077166,-1.1083736,-2.374535,0.5650045,0.076422304,-0.18416381,0.14069374,0.34540266,-0.94475216,-0.58285254,-0.30530134,-0.39841655,-0.02669372,2.530136,-0.37539312,-0.49043563,0.63440245,0.31966454,0.20002544,-0.035095353,-0.37666717,1.2586521,0.07527371,2.710886,0.1185703,1.7864469,0.25750205
-0.089,-0.066760205,0.34164,-0.5355001,0.19788158,-0.2871591,-1.0554973,-0.29660642,0.01091288,0.24239084,0.09401319,-0.105788365,-0.22869815,0.283079,0.039478466,-0.39254788,-1.8080873,-0.064642705,0.24872848,-0.96099484,0.14899696,0.36871025,-0.8564759,-0.59079874,-1.0373367,-0.040273875,0.021442937,1.1895789,-0.44035426,-0.4656914,0.9297092,0.5291539,-0.0036079534,1.2530825,2.0835173,0.18616362,-0.24139518,1.0141159,0.24174097,-0.073263556,0.33600157
-0.094,-0.12740812,-2.0022602,-1.6666702,0.036769327,-0.3484241,-1.4702767,-0.45428494,-0.032620504,0.3716555,0.4471287,-0.2149523,-0.33441696,0.14344978,-0.04970059,-2.2098043,0.10930376,0.54987216,-0.36505592,0.095895395,-0.37697107,0.2863315,-1.762614,-0.35375425,-0.25592175,0.004206587,0.047842454,1.0453659,-0.11269589,-1.8106825,0.7107807,0.5008114,0.14903115,1.0563923,-0.20338291,-0.18691799,-1.2561828,1.8307685,-0.22485362,3.1473594,0.01752307
-0.095,0.028364226,-0.8544995,-1.1932454,0.3065313,2.4842787,-1.3011347,-0.27748123,0.1358143,-0.62677795,0.45355618,-0.3057882,-0.38842902,0.26894522,-0.2385996,0.48675427,-0.8803453,0.44859844,0.09510596,-0.46305478,-0.1266076,0.25557515,-1.4622371,-0.43603554,-0.9029024,-1.4265445,0.059726786,0.50465506,-0.06659532,0.0059603704,0.7580479,0.2798082,0.059541587,0.36991173,1.2640142,1.470019,-0.4662039,2.074894,-0.026914338,0.47621477,0.10248632
-0.102,-0.09578118,-0.28585324,-1.4614905,0.43422082,0.445029,-0.6885364,0.06337343,-0.06752682,0.092408426,0.20921296,-0.3140231,-0.34749466,-0.35997522,0.08086262,-0.49307966,0.37999725,-0.71587706,0.33360705,-1.5605534,0.33641225,0.24150962,-1.9165787,-0.19808072,-1.0100981,-0.44950986,0.5458868,2.6952488,-0.6977207,-1.3512973,0.7602855,0.49591643,-0.018564282,0.06385696,1.066913,1.6620278,-1.366689,-1.8764503,0.44483852,-0.19491719,0.36265352
-0.103,-0.013481163,0.52620655,-1.2514311,0.14011715,-0.47330096,-1.0478798,2.2188678,-0.3448459,0.18139055,0.6256119,-0.17182212,-0.30515265,0.16809621,0.018965958,-1.0550973,0.30100653,0.16503666,0.24039061,0.17670912,0.048988163,0.28348118,-0.47815555,-0.5577069,-0.66240454,-0.0045520114,0.2099254,3.1868944,-0.98879045,-1.6783075,0.66432893,0.48963678,0.13861233,0.5951643,-0.045275964,0.3151373,-1.3862569,1.1083473,0.34971705,2.4881337,0.26192468
-0.104,0.029129673,-3.3084526,-1.3615856,0.2549796,0.26505473,-0.80824214,-0.7711478,-0.07801295,0.15792838,0.5787482,-0.77740806,-0.3229084,0.41622838,-0.35379827,-0.9817328,0.2769062,0.6605834,0.614968,-1.4105761,-0.009806422,0.28204224,0.46309367,-0.33250064,-0.93488705,-0.53083605,0.44388202,0.89021623,-0.094675705,-0.2629095,0.4493661,-0.00051468046,0.079164475,1.193461,0.33372405,0.88590413,-1.0525361,1.2661813,0.78133506,-0.59526145,0.04729493
-0.109,0.09320994,-0.5624548,-1.3611284,0.36155397,0.013558068,-2.116294,2.298391,-0.18447042,1.1097049,0.46116063,-0.043522332,-0.23809132,0.23531532,0.004431781,-0.037717562,-1.9544386,-0.3554717,-0.04289502,-1.837876,-0.046644863,0.120358706,0.69893175,-1.0875291,-1.3001224,-0.2980683,0.2382201,5.902303,-0.15998706,-2.4738648,0.71408886,0.08517167,-0.026306363,0.38167238,0.53652334,0.7755645,-0.47784606,-0.43110532,-0.36160052,0.05568445,0.073608704
-0.145,-0.027464803,-0.67877126,-0.8943644,0.2070691,0.22174433,-0.83395356,0.4581443,0.10908154,-1.2870107,0.30812985,-0.2297643,-0.30202007,-0.02500074,0.1139411,0.1884727,-0.588781,0.25398776,0.22922125,-0.18710749,-0.39344195,0.60950947,-0.7450754,-0.30509782,-0.8461158,-0.09099635,0.007192447,0.98850316,-0.42440736,0.54389006,0.6711027,0.4211693,0.14117807,0.28137633,0.6445367,0.8633509,-0.18860571,1.100789,0.27829102,0.83929735,0.16570476
-0.333,-0.0907329,-0.8413987,-0.8540683,-0.3463092,-0.29864916,-0.6690698,0.105198324,-0.15106338,0.5894192,0.4876808,-0.50954574,-0.30318642,-0.17541894,-0.3891016,-0.5239216,0.1280142,-0.08244706,0.4763383,-0.6078439,-0.8325457,0.57743466,0.22374737,-0.18723068,-0.12265468,0.026008839,0.15184277,0.7645238,-0.624716,-1.3353007,0.50313675,0.39892107,0.25748822,0.7508828,0.14754452,0.13288376,-0.8840324,-0.75730973,0.59417593,-0.08189144,-0.09286867
-0.344,-0.057740066,-0.087582886,-1.2896384,-0.4864295,-0.5676997,-0.802913,-0.49153706,0.08931788,-0.33638552,0.46202895,-0.39611533,-0.3676795,-0.12267622,-0.4718932,-0.20858482,-0.8085129,-0.018300518,0.030373942,-0.4292765,-1.0763572,0.39576855,-0.47418752,-0.17220238,-0.038976558,0.08415805,0.034340903,0.42032155,-0.7301038,-0.20252341,0.41403863,0.45676214,0.20160824,0.8836633,0.63084584,0.50375664,-0.3064956,-0.49649146,0.10883116,0.21362859,-0.27590072
-0.346,-0.13276742,-0.38305157,-1.3540864,-0.14492503,-0.3211571,-0.7752256,0.72501075,-0.12314228,-0.4561412,0.46897337,-0.34631792,-0.32128736,0.1696052,-0.41517088,-0.21166632,-0.30749658,-0.31107998,0.09757001,-0.5727956,-0.6256272,0.38606393,0.022601957,-0.09119051,-0.45496696,-0.026800774,0.15734151,0.16079073,-0.91340053,-0.1963137,0.4430134,0.4144974,0.25487027,0.9184121,0.39350793,0.35441715,-0.62245965,-0.8640726,0.33296183,0.010215494,-0.07394323
-0.358,-0.06488477,0.19246729,-0.7542328,-1.3813771,0.024304679,-0.67246103,-0.17640051,0.16341059,1.0682347,0.49950996,-0.48706958,-0.36044163,0.062332332,-0.0032535992,0.030117052,-1.1305203,-0.35637528,0.16620626,-0.8134483,-0.7852289,0.30230817,-0.68211234,-0.28355744,0.7070783,-0.14289346,0.35601002,1.1967943,-0.91723424,-1.5561248,0.42650703,0.37790257,0.19506903,0.38093773,-0.34180644,1.4616318,-0.28546292,-1.1598524,0.24386808,-0.17795368,-0.15523183
-0.36,-0.034145676,0.039690778,-0.49218193,-0.45080593,0.2353717,-0.6372201,0.6886919,0.062388264,-0.18530709,0.58534986,-0.32521224,-0.26970756,0.098113924,-0.37075448,-0.19740781,-0.99421597,-0.2840801,0.32948387,-0.79493725,-0.36823392,0.49572134,-0.57579356,-0.33594894,-0.05922827,-0.3910799,0.055024706,0.073018804,-0.6196053,0.08112649,0.38803655,0.5093859,0.23009816,0.8728097,0.16388555,0.54302984,-0.21010262,-1.3754519,0.520911,-0.36553606,0.022100909
-0.364,-0.036315203,-0.39838037,-0.98852205,-0.5004871,0.04364876,-0.6789922,-0.050583392,-0.11764357,0.35193548,0.43921408,-0.3162153,-0.32794905,0.48789582,-0.060099743,-0.121292755,0.17749286,-0.23836206,0.23109613,-0.43390304,-0.96075064,0.4889878,-0.7255092,-0.124664724,0.1149929,0.027055148,0.13498391,0.8702451,-0.5692562,-1.1723642,0.60508335,0.62564284,0.19216171,0.82541806,0.04874888,0.1320107,-0.9753141,-0.61633027,0.319925,0.25371787,-0.11128812
-0.365,0.055516817,-0.13915585,-1.0388806,-0.3645006,-0.25555187,-0.78964764,-0.3944241,-0.0032743334,-0.2146253,0.39334017,-0.3668575,-0.25160512,0.65451837,-0.118713945,0.49068457,-0.9378097,-0.16219607,0.5289686,-0.28450108,-0.83124834,0.46249992,-0.96858406,-0.19699235,-0.06826523,0.0022732376,0.035140846,0.7132425,-0.60634583,-0.29920432,0.5317189,0.4664892,0.27310807,0.76908785,0.24483272,0.42743593,-0.40058476,-0.68833506,0.7923425,0.3612724,-0.020731777
